student_id,student_name,dob,emis_id,school_info,class,parent_mobile,password,verification_status
STD026,Arunmozli,22-07-2015,2026746042,3 - GHSS - Salem North,12-B,9612614248,Arun@2015,Verified
STD027,Priya,24-07-2011,2026735868,3 - GHSS - Salem North,7-A,9904067337,Priy@2011,Verified
STD028,Iniya Devi,23-07-2017,2026875343,3 - GHSS - Salem North,3-A,9963967416,Iniy@2017,Verified
STD029,Raman,31-03-2008,2026605944,3 - GHSS - Salem North,10-B,9942692630,Rama@2008,Pending
STD030,Ezhillarasi,11/4/2019,2026803674,4 - GHSS - Trichy Central,1-A,9806206670,Ezhi@2019,Pending
STD031,Suganya,14-07-2011,2026402499,4 - GHSS - Trichy Central,4-A,9807742396,Suga@2011,Rejected
STD032,Tamilarasi,11/4/2009,2026186793,4 - GHSS - Trichy Central,12-B,9694005171,Tami@2009,Verified
STD033,Dinesh,7/4/2014,2026741332,4 - GHSS - Trichy Central,9-B,9616076364,Dine@2014,Pending
STD034,Arunkumar,25-05-2012,2026320933,3 - GHSS - Salem North,8-A,9711392938,Arun@2012,Verified
STD035,Iniyan,7/4/2008,2026791296,2 - GHSS - Coimbatore Town,10-A,9999082050,Iniy@2008,Verified
STD036,Anupriya,15-05-2009,2026957889,1 - GHSS - Madurai East,1-B,9757185733,Anup@2009,Pending
STD037,Ruba,1/12/2013,2026996515,1 - GHSS - Madurai East,9-B,9987502267,Ruba@2013,Verified
STD038,Sarmatha,12/3/2010,2026559931,1 - GHSS - Madurai East,7-A,9712693760,Sarm@2010,Verified
STD039,Sarumathi,20-07-2013,2026320177,1 - GHSS - Madurai East,10-A,9987839410,Saru@2013,Verified
STD040,Madhu,13-05-2014,2026507493,2 - GHSS - Coimbatore Town,6-B,9993484584,Madh@2014,Verified
STD041,Kanaga,11/12/2010,2026396757,1 - GHSS - Madurai East,2-B,9847879397,Kana@2010,Verified
STD042,Sandhiya,9/12/2017,2026196540,1 - GHSS - Madurai East,6-B,9739075173,Sand@2017,Verified
STD043,Nivetha,17-07-2020,2026659346,2 - GHSS - Coimbatore Town,3-A,9631667993,Nive@2020,Verified
STD044,Valli,21-10-2019,2026809133,2 - GHSS - Coimbatore Town,5-A,9669408762,Vall@2019,Verified
STD045,Ajay,5/6/2012,2026871567,4 - GHSS - Trichy Central,3-B,9957025153,Ajay@2012,Verified
STD046,Mohan,3/3/2009,2026862088,4 - GHSS - Trichy Central,12-A,9676067788,Moha@2009,Verified
STD047,Praveen,18-05-2012,2026454574,1 - GHSS - Madurai East,9-B,9855239053,Prav@2012,Verified
STD048,Kumar,4/1/2010,2026949657,2 - GHSS - Coimbatore Town,6-A,9987261821,Kuma@2010,Verified
STD049,Pradeepa,21-08-2013,2026372272,1 - GHSS - Madurai East,10-A,9695021928,Prad@2013,Pending
STD050,Deepa,19-07-2014,2026894149,2 - GHSS - Coimbatore Town,6-A,9752111555,Deep@2014,Verified
STD051,Iniya Rajan,19-09-2008,2026180589,1 - GHSS - Madurai East,1-B,9900408241,Iniy@2008,Verified
STD052,Selvamurugan,15-05-2011,2026487866,2 - GHSS - Coimbatore Town,9-B,9757955559,Selv@2011,Verified
STD053,Dhanalakshmi,7/1/2015,2026330075,1 - GHSS - Madurai East,5-B,9909189819,Dhan@2015,Verified
STD054,Nila,30-04-2020,2026151478,3 - GHSS - Salem North,9-A,9746067823,Nila@2020,Verified
STD055,Arun,11/1/2017,2026122403,1 - GHSS - Madurai East,8-B,9889237917,Arun@2017,Verified
STD056,Anbarasu,21-02-2009,2026209341,2 - GHSS - Coimbatore Town,10-A,9789868730,Anba@2009,Verified
STD057,Chitra,26-06-2016,2026497659,2 - GHSS - Coimbatore Town,1-B,9635910102,Chit@2016,Rejected
STD058,Manimaran,22-11-2014,2026940185,1 - GHSS - Madurai East,2-B,9618681482,Mani@2014,Verified
STD059,Maran,19-11-2009,2026973058,2 - GHSS - Coimbatore Town,3-A,9938853694,Mara@2009,Verified
STD060,Murugan,25-05-2013,2026175325,3 - GHSS - Salem North,9-B,9853164188,Muru@2013,Verified
STD061,Iniya Kumar,9/7/2009,2026669269,3 - GHSS - Salem North,10-B,9969114388,Iniy@2009,Verified
STD062,Ravi,13-10-2016,2026194776,4 - GHSS - Trichy Central,12-B,9697138523,Ravi@2016,Verified
STD063,Ajith,15-08-2019,2026319288,2 - GHSS - Coimbatore Town,9-A,9893470448,Ajit@2019,Verified
STD064,Tamil,2/11/2013,2026586485,1 - GHSS - Madurai East,2-A,9813865946,Tami@2013,Pending
STD065,Bhaskar,5/12/2010,2026746888,4 - GHSS - Trichy Central,11-B,9762426173,Bhas@2010,Pending
STD066,Oviya,18-09-2018,2026349383,3 - GHSS - Salem North,1-A,9665581280,Oviy@2018,Verified
STD067,Ravikumar,29-07-2012,2026157223,4 - GHSS - Trichy Central,12-B,9607406747,Ravi@2012,Verified
STD068,Uday Devi,26-02-2014,2026768288,4 - GHSS - Trichy Central,12-B,9631504569,Uday@2014,Verified
STD069,Dharani,21-06-2009,2026119065,3 - GHSS - Salem North,5-B,9876084918,Dhar@2009,Verified
STD070,Jeeva Kumar,26-10-2018,2026125415,2 - GHSS - Coimbatore Town,11-B,9690286934,Jeev@2018,Verified
STD071,Navanidhan,18-06-2019,2026663105,1 - GHSS - Madurai East,11-B,9831951024,Nava@2019,Verified
STD072,Suresh,16-08-2008,2026480959,4 - GHSS - Trichy Central,10-B,9703740132,Sure@2008,Pending
STD073,Viyanka,25-02-2020,2026201003,4 - GHSS - Trichy Central,10-A,9701402081,Viya@2020,Pending
STD074,Haviska,28-07-2015,2026122313,3 - GHSS - Salem North,5-A,9649641271,Havi@2015,Verified
STD075,Vibishika,11/11/2014,2026871339,1 - GHSS - Madurai East,9-B,9997227275,Vibi@2014,Verified
STD076,Gokul ,7/10/2009,2026871975,4 - GHSS - Trichy Central,1-B,9744422741,Goku@2009,Verified
STD077,Sadhana,19-01-2016,2026968904,2 - GHSS - Coimbatore Town,11-A,9859544740,Sadh@2016,Verified
STD078,Anbarasu,11/7/2014,2026351986,1 - GHSS - Madurai East,12-A,9941726718,Anba@2014,Verified
STD079,Selvi Babu,30-11-2013,2026333341,4 - GHSS - Trichy Central,4-B,9783656008,Selv@2013,Verified
STD080,Dineshkumar,29-01-2014,2026108884,4 - GHSS - Trichy Central,5-A,9908598043,Dine@2014,Verified
STD081,Valli,15-03-2008,2026335052,4 - GHSS - Trichy Central,1-A,9835959291,Vall@2008,Verified
STD082,Dinesh,12/9/2016,2026493625,4 - GHSS - Trichy Central,7-B,9735737021,Dine@2016,Verified
STD083,Nila Vel,27-08-2010,2026320397,3 - GHSS - Salem North,12-B,9851943840,Nila@2010,Verified
STD084,Arun Selvam,8/11/2016,2026858445,4 - GHSS - Trichy Central,5-A,9927310640,Arun@2016,Pending
STD085,Oviya Devi,14-04-2009,2026517824,2 - GHSS - Coimbatore Town,12-A,9905359385,Oviy@2009,Verified
STD086,Gokul Vel,8/12/2012,2026218641,4 - GHSS - Trichy Central,5-B,9691343019,Goku@2012,Verified
STD087,Jeeva Mani,26-12-2014,2026440695,3 - GHSS - Salem North,1-A,9807292183,Jeev@2014,Pending
STD088,Mani Babu,1/12/2017,2026508441,3 - GHSS - Salem North,4-B,9608481698,Mani@2017,Verified
STD089,Jeeva Kumar,10/7/2017,2026364290,3 - GHSS - Salem North,7-A,9608919963,Jeev@2017,Verified
STD090,Kaviya Rajan,21-04-2015,2026358437,1 - GHSS - Madurai East,10-B,9925387908,Kavi@2015,Verified
STD091,Pari Devi,4/2/2016,2026796714,2 - GHSS - Coimbatore Town,3-A,9721460924,Pari@2016,Verified
STD092,Selvi Mani,8/3/2017,2026679232,2 - GHSS - Coimbatore Town,5-A,9784403632,Selv@2017,Verified
STD093,Jeeva Selvam,10/11/2010,2026154581,3 - GHSS - Salem North,8-B,9930104216,Jeev@2010,Verified
STD094,Iniya Rajan,12/9/2015,2026400593,4 - GHSS - Trichy Central,5-A,9953856554,Iniy@2015,Verified
STD095,Jeeva Rajan,5/7/2015,2026776238,2 - GHSS - Coimbatore Town,10-A,9944784779,Jeev@2015,Verified
STD096,Lokesh Arasu,26-04-2014,2026759718,2 - GHSS - Coimbatore Town,7-A,9942004104,Loke@2014,Pending
STD097,Kaviya Pandian,12/3/2008,2026450705,3 - GHSS - Salem North,5-A,9636431999,Kavi@2008,Verified
STD098,Tamil Selvam,18-11-2020,2026117603,2 - GHSS - Coimbatore Town,7-B,9954722726,Tami@2020,Verified
STD099,Arun Selvam,9/11/2017,2026942356,3 - GHSS - Salem North,6-A,9831186310,Arun@2017,Verified
STD100,Iniya Arasu,17-10-2009,2026687210,3 - GHSS - Salem North,2-A,9708022519,Iniy@2009,Pending
STD101,Iniya Devi,17-06-2015,2026999825,2 - GHSS - Coimbatore Town,12-B,9901710181,Iniy@2015,Verified
STD102,Jeeva Rajan,21-11-2018,2026512678,2 - GHSS - Coimbatore Town,7-B,9670084994,Jeev@2018,Pending
STD103,Jeeva Babu,5/7/2019,2026314790,1 - GHSS - Madurai East,5-A,9719390591,Jeev@2019,Verified
STD104,Kaviya Mani,2/2/2012,2026229731,4 - GHSS - Trichy Central,9-B,9882569131,Kavi@2012,Verified
STD105,Dinesh Arasu,26-02-2014,2026826217,3 - GHSS - Salem North,12-B,9765378741,Dine@2014,Verified
STD106,Nila Pandian,7/6/2017,2026883866,3 - GHSS - Salem North,7-B,9918845301,Nila@2017,Verified
STD107,Anbarasu Rajan,3/12/2011,2026381316,2 - GHSS - Coimbatore Town,5-B,9728932696,Anba@2011,Verified
STD108,Jeeva Murugan,8/9/2011,2026725731,2 - GHSS - Coimbatore Town,4-A,9681913209,Jeev@2011,Verified
STD109,Gokul Arasu,8/4/2011,2026718376,3 - GHSS - Salem North,4-A,9928132019,Goku@2011,Pending
STD110,Anbarasu Vel,19-12-2019,2026515525,4 - GHSS - Trichy Central,2-A,9929701076,Anba@2019,Pending
STD111,Oviya Arasu,4/10/2019,2026295957,1 - GHSS - Madurai East,1-B,9839651026,Oviy@2019,Verified
STD112,Oviya Mani,3/8/2009,2026673437,2 - GHSS - Coimbatore Town,10-B,9806101044,Oviy@2009,Rejected
STD113,Ezhil Rajan,13-12-2019,2026895520,4 - GHSS - Trichy Central,10-B,9759229849,Ezhi@2019,Verified
STD114,Jeeva Vel,5/3/2009,2026360626,1 - GHSS - Madurai East,4-A,9889521099,Jeev@2009,Pending
STD115,Oviya Pandian,1/11/2017,2026763278,3 - GHSS - Salem North,6-B,9755653694,Oviy@2017,Pending
STD116,Gokul Vel,6/10/2009,2026282834,1 - GHSS - Madurai East,5-A,9809625202,Goku@2009,Verified
STD117,Dinesh Babu,23-03-2017,2026972730,1 - GHSS - Madurai East,9-B,9904375810,Dine@2017,Pending
STD118,Oviya Rajan,17-06-2015,2026603272,4 - GHSS - Trichy Central,3-A,9829486671,Oviy@2015,Verified
STD119,Dinesh Vel,7/1/2013,2026553683,1 - GHSS - Madurai East,1-B,9624822866,Dine@2013,Pending
STD120,Oviya Babu,16-09-2010,2026330669,4 - GHSS - Trichy Central,9-A,9616209370,Oviy@2010,Verified
STD121,Valli Selvam,10/9/2017,2026249516,4 - GHSS - Trichy Central,2-B,9787076498,Vall@2017,Pending
STD122,Anbarasu Babu,6/9/2015,2026367160,3 - GHSS - Salem North,11-B,9894141775,Anba@2015,Verified
STD123,Arun Kumar,5/5/2013,2026187659,1 - GHSS - Madurai East,1-B,9966334646,Arun@2013,Verified
STD124,Pari Kumar,27-04-2014,2026592349,3 - GHSS - Salem North,12-A,9766197816,Pari@2014,Verified
STD125,Ravi Arasu,17-04-2010,2026884659,2 - GHSS - Coimbatore Town,8-A,9855761403,Ravi@2010,Verified
STD126,Kaviya Rajan,22-08-2020,2026790720,1 - GHSS - Madurai East,5-B,9828326256,Kavi@2020,Verified
STD127,Anbarasu Vel,5/7/2016,2026473273,4 - GHSS - Trichy Central,3-B,9762386660,Anba@2016,Verified
STD128,Lokesh Arasu,31-07-2014,2026343545,2 - GHSS - Coimbatore Town,9-B,9970218862,Loke@2014,Rejected
STD129,Nila Babu,3/8/2009,2026986834,1 - GHSS - Madurai East,10-B,9625194854,Nila@2009,Pending
STD130,Jeeva Arasu,19-08-2010,2026178430,1 - GHSS - Madurai East,1-B,9933210256,Jeev@2010,Verified
STD131,Tamil Vel,7/9/2018,2026289676,1 - GHSS - Madurai East,8-B,9762986670,Tami@2018,Pending
STD132,Anbarasu Babu,14-04-2012,2026735718,1 - GHSS - Madurai East,9-A,9691386112,Anba@2012,Verified
STD133,Lokesh Pandian,17-03-2014,2026147729,2 - GHSS - Coimbatore Town,5-A,9902705862,Loke@2014,Verified
STD134,Selvi Vel,21-07-2018,2026190257,4 - GHSS - Trichy Central,3-A,9615814984,Selv@2018,Verified
STD135,Chitra Rajan,22-12-2011,2026784212,1 - GHSS - Madurai East,12-A,9946193321,Chit@2011,Verified
STD136,Anbarasu Arasu,11/5/2016,2026110784,2 - GHSS - Coimbatore Town,8-A,9906245624,Anba@2016,Pending
STD137,Dinesh Selvam,23-08-2008,2026901295,2 - GHSS - Coimbatore Town,6-B,9822418331,Dine@2008,Verified
STD138,Oviya Murugan,29-05-2008,2026959979,1 - GHSS - Madurai East,7-B,9710959683,Oviy@2008,Pending
STD139,Uday Murugan,4/6/2020,2026966287,4 - GHSS - Trichy Central,2-B,9749073974,Uday@2020,Verified
STD140,Ravi Babu,22-02-2017,2026597419,2 - GHSS - Coimbatore Town,10-A,9732646752,Ravi@2017,Rejected
STD141,Anbarasu Babu,12/7/2014,2026112500,2 - GHSS - Coimbatore Town,1-B,9670302875,Anba@2014,Verified
STD142,Valli Devi,8/8/2020,2026696228,1 - GHSS - Madurai East,8-B,9993997023,Vall@2020,Verified
STD143,Nila Babu,18-04-2013,2026359159,2 - GHSS - Coimbatore Town,9-B,9897018572,Nila@2013,Verified
STD144,Iniya Murugan,18-09-2010,2026241442,3 - GHSS - Salem North,12-A,9911274507,Iniy@2010,Verified
STD145,Iniya Selvam,21-04-2011,2026272300,1 - GHSS - Madurai East,10-A,9783027476,Iniy@2011,Pending
STD146,Arun Devi,30-07-2010,2026693660,4 - GHSS - Trichy Central,6-A,9645523027,Arun@2010,Verified
STD147,Jeeva Selvam,23-04-2016,2026999686,4 - GHSS - Trichy Central,7-B,9982691928,Jeev@2016,Verified
STD148,Balan Mani,3/2/2020,2026779238,3 - GHSS - Salem North,4-A,9909266998,Bala@2020,Verified
STD149,Pari Kumar,23-05-2015,2026593505,2 - GHSS - Coimbatore Town,9-B,9964234196,Pari@2015,Verified
STD150,Tamil Selvam,27-08-2019,2026589247,1 - GHSS - Madurai East,7-B,9655520480,Tami@2019,Verified
STD151,Oviya Devi,17-05-2020,2026777395,4 - GHSS - Trichy Central,12-A,9755280190,Oviy@2020,Pending
STD152,Ezhil Babu,16-04-2020,2026153050,3 - GHSS - Salem North,9-A,9943217763,Ezhi@2020,Verified
STD153,Anbarasu Vel,2/8/2010,2026192923,2 - GHSS - Coimbatore Town,11-A,9860225117,Anba@2010,Verified
STD154,Ezhil Vel,1/11/2018,2026746733,3 - GHSS - Salem North,9-B,9855769923,Ezhi@2018,Verified
STD155,Ezhil Rajan,20-05-2018,2026356669,1 - GHSS - Madurai East,5-A,9856499602,Ezhi@2018,Verified
STD156,Lokesh Kumar,9/7/2011,2026164898,3 - GHSS - Salem North,2-A,9963280284,Loke@2011,Verified
STD157,Gokul Devi,2/6/2009,2026674740,4 - GHSS - Trichy Central,9-A,9940619462,Goku@2009,Verified
STD158,Selvi Arasu,29-12-2011,2026502711,2 - GHSS - Coimbatore Town,8-B,9970846762,Selv@2011,Verified
STD159,Kaviya Babu,27-06-2016,2026712651,2 - GHSS - Coimbatore Town,12-B,9933564074,Kavi@2016,Verified
STD160,Selvi Rajan,22-11-2012,2026660049,2 - GHSS - Coimbatore Town,10-A,9864407927,Selv@2012,Verified
STD161,Anbarasu Vel,22-08-2019,2026595832,3 - GHSS - Salem North,10-A,9980697199,Anba@2019,Verified
STD162,Lokesh Babu,9/8/2019,2026374168,2 - GHSS - Coimbatore Town,10-A,9619061686,Loke@2019,Verified
STD163,Mani Babu,14-05-2013,2026460013,4 - GHSS - Trichy Central,10-B,9662993864,Mani@2013,Pending
STD164,Ravi Kumar,22-09-2016,2026128819,2 - GHSS - Coimbatore Town,11-A,9830732168,Ravi@2016,Verified
STD165,Mani Rajan,10/1/2009,2026837175,2 - GHSS - Coimbatore Town,3-B,9664368599,Mani@2009,Verified
STD166,Pari Selvam,1/4/2010,2026302923,1 - GHSS - Madurai East,8-A,9827158236,Pari@2010,Pending
STD167,Uday Pandian,27-01-2018,2026516480,1 - GHSS - Madurai East,3-B,9699753818,Uday@2018,Pending
STD168,Uday Arasu,13-10-2009,2026826336,2 - GHSS - Coimbatore Town,12-A,9897693837,Uday@2009,Verified
STD169,Arun Pandian,16-09-2019,2026302886,1 - GHSS - Madurai East,1-B,9908047935,Arun@2019,Verified
STD170,Ezhil Devi,6/10/2009,2026909760,1 - GHSS - Madurai East,2-A,9758731930,Ezhi@2009,Rejected
STD171,Lokesh Murugan,30-08-2012,2026649474,1 - GHSS - Madurai East,7-B,9812901294,Loke@2012,Verified
STD172,Nila Devi,26-03-2009,2026651676,3 - GHSS - Salem North,10-A,9845925307,Nila@2009,Verified
STD173,Uday Rajan,7/6/2008,2026890459,3 - GHSS - Salem North,6-A,9785558005,Uday@2008,Verified
STD174,Pari Murugan,15-09-2014,2026171087,3 - GHSS - Salem North,1-A,9724570407,Pari@2014,Verified
STD175,Arun Selvam,1/8/2008,2026925967,1 - GHSS - Madurai East,3-A,9959361460,Arun@2008,Verified
STD176,Valli Babu,19-01-2008,2026812807,1 - GHSS - Madurai East,3-B,9746754579,Vall@2008,Pending
STD177,Iniya Mani,31-07-2014,2026399687,2 - GHSS - Coimbatore Town,9-A,9609963890,Iniy@2014,Pending
STD178,Balan Vel,1/4/2011,2026697500,1 - GHSS - Madurai East,5-A,9990077782,Bala@2011,Verified
STD179,Chitra Murugan,8/9/2020,2026596629,2 - GHSS - Coimbatore Town,4-B,9774370772,Chit@2020,Verified
STD180,Selvi Pandian,6/4/2015,2026670591,1 - GHSS - Madurai East,8-B,9813019365,Selv@2015,Verified
STD181,Pari Arasu,2/1/2020,2026858633,1 - GHSS - Madurai East,9-B,9927957075,Pari@2020,Verified
STD182,Uday Pandian,17-10-2008,2026661959,2 - GHSS - Coimbatore Town,5-B,9705477559,Uday@2008,Verified
STD183,Oviya Selvam,22-11-2015,2026797904,4 - GHSS - Trichy Central,8-B,9945852736,Oviy@2015,Verified
STD184,Balan Arasu,14-07-2014,2026118974,4 - GHSS - Trichy Central,4-B,9668049261,Bala@2014,Verified
STD185,Dinesh Vel,16-03-2010,2026581421,3 - GHSS - Salem North,6-A,9803240029,Dine@2010,Pending
STD186,Kaviya Murugan,15-10-2020,2026753369,4 - GHSS - Trichy Central,10-B,9854636031,Kavi@2020,Rejected
STD187,Kaviya Kumar,12/11/2020,2026971569,3 - GHSS - Salem North,2-A,9834086538,Kavi@2020,Verified
STD188,Ravi Mani,11/10/2008,2026173126,1 - GHSS - Madurai East,8-A,9937921094,Ravi@2008,Verified
STD189,Ravi Rajan,26-11-2018,2026971228,3 - GHSS - Salem North,7-B,9822242163,Ravi@2018,Verified
STD190,Pari Rajan,27-02-2019,2026399667,2 - GHSS - Coimbatore Town,10-A,9760587412,Pari@2019,Pending
STD191,Ravi Vel,14-12-2011,2026942994,1 - GHSS - Madurai East,5-B,9984929748,Ravi@2011,Pending
STD192,Pari Devi,3/8/2009,2026948210,4 - GHSS - Trichy Central,11-A,9788452303,Pari@2009,Verified
STD193,Oviya Rajan,10/11/2017,2026635191,3 - GHSS - Salem North,7-A,9976937702,Oviy@2017,Verified
STD194,Gokul Vel,9/8/2011,2026284697,2 - GHSS - Coimbatore Town,4-B,9968674444,Goku@2011,Pending
STD195,Arun Devi,22-02-2017,2026947026,4 - GHSS - Trichy Central,7-B,9675602671,Arun@2017,Verified
STD196,Selvi Vel,5/4/2009,2026996604,3 - GHSS - Salem North,4-B,9742798915,Selv@2009,Verified
STD197,Chitra Pandian,29-05-2020,2026800944,3 - GHSS - Salem North,9-A,9651328079,Chit@2020,Verified
STD198,Valli Mani,2/2/2019,2026623463,3 - GHSS - Salem North,1-B,9613306972,Vall@2019,Verified
STD199,Valli Babu,17-04-2016,2026577820,2 - GHSS - Coimbatore Town,5-A,9921351897,Vall@2016,Verified
STD200,Jeeva Babu,14-02-2020,2026365979,4 - GHSS - Trichy Central,11-A,9710966815,Jeev@2020,Verified
STD201,Ravi Mani,12/3/2009,2026630423,2 - GHSS - Coimbatore Town,6-A,9898546411,Ravi@2009,Rejected
STD202,Valli Murugan,13-09-2018,2026749824,2 - GHSS - Coimbatore Town,7-A,9898108014,Vall@2018,Verified
STD203,Valli Selvam,27-02-2014,2026683210,2 - GHSS - Coimbatore Town,4-A,9708790331,Vall@2014,Verified
STD204,Dinesh Pandian,16-02-2019,2026904095,1 - GHSS - Madurai East,12-B,9828316958,Dine@2019,Verified
STD205,Selvi Pandian,3/1/2014,2026948880,4 - GHSS - Trichy Central,1-B,9967229259,Selv@2014,Verified
STD206,Pari Selvam,2/12/2015,2026221797,2 - GHSS - Coimbatore Town,1-A,9885151976,Pari@2015,Verified
STD207,Ravi Selvam,6/10/2014,2026185011,3 - GHSS - Salem North,11-B,9786480713,Ravi@2014,Verified
STD208,Tamil Devi,19-09-2015,2026841794,1 - GHSS - Madurai East,9-B,9769569165,Tami@2015,Verified
STD209,Valli Murugan,18-08-2009,2026452777,3 - GHSS - Salem North,8-A,9604775017,Vall@2009,Verified
STD210,Kaviya Selvam,27-11-2017,2026737327,4 - GHSS - Trichy Central,11-A,9920589961,Kavi@2017,Rejected
STD211,Gokul Rajan,3/7/2019,2026425467,3 - GHSS - Salem North,10-B,9694818505,Goku@2019,Verified
STD212,Pari Arasu,28-08-2014,2026191543,2 - GHSS - Coimbatore Town,2-A,9801324555,Pari@2014,Verified
STD213,Chitra Arasu,2/3/2011,2026515966,2 - GHSS - Coimbatore Town,8-A,9925586999,Chit@2011,Verified
STD214,Lokesh Vel,21-12-2011,2026678327,3 - GHSS - Salem North,9-B,9981678408,Loke@2011,Verified
STD215,Tamil Selvam,23-05-2011,2026277896,1 - GHSS - Madurai East,1-A,9625650374,Tami@2011,Verified
STD216,Lokesh Selvam,9/4/2020,2026782039,2 - GHSS - Coimbatore Town,10-B,9890938088,Loke@2020,Verified
STD217,Iniya Arasu,11/10/2019,2026362179,2 - GHSS - Coimbatore Town,12-B,9755804410,Iniy@2019,Verified
STD218,Ravi Mani,2/4/2016,2026344950,1 - GHSS - Madurai East,4-B,9936792483,Ravi@2016,Verified
STD219,Lokesh Arasu,6/6/2020,2026565525,4 - GHSS - Trichy Central,7-B,9995743178,Loke@2020,Pending
STD220,Iniya Selvam,31-05-2017,2026322895,2 - GHSS - Coimbatore Town,6-A,9631916238,Iniy@2017,Verified
STD221,Dinesh Rajan,28-10-2020,2026406130,2 - GHSS - Coimbatore Town,12-A,9661764854,Dine@2020,Verified
STD222,Arun Kumar,24-09-2012,2026227939,3 - GHSS - Salem North,8-B,9970062274,Arun@2012,Verified
STD223,Uday Arasu,5/2/2010,2026189041,1 - GHSS - Madurai East,6-A,9701521167,Uday@2010,Verified
STD224,Jeeva Arasu,9/12/2014,2026690024,1 - GHSS - Madurai East,8-A,9785700270,Jeev@2014,Verified
STD225,Anbarasu Mani,24-09-2018,2026565067,2 - GHSS - Coimbatore Town,8-A,9702112225,Anba@2018,Verified
STD226,Balan Mani,25-11-2011,2026163066,4 - GHSS - Trichy Central,7-B,9812280498,Bala@2011,Verified
STD227,Kaviya Rajan,19-02-2017,2026361594,4 - GHSS - Trichy Central,9-B,9826423552,Kavi@2017,Verified
STD228,Arun Murugan,11/4/2015,2026331951,3 - GHSS - Salem North,7-B,9869840335,Arun@2015,Verified
STD229,Arun Mani,11/3/2016,2026610999,3 - GHSS - Salem North,9-A,9842011207,Arun@2016,Verified
STD230,Chitra Murugan,18-03-2018,2026391885,4 - GHSS - Trichy Central,11-A,9858357810,Chit@2018,Rejected
STD231,Arun Selvam,21-08-2017,2026449513,1 - GHSS - Madurai East,3-B,9844034663,Arun@2017,Verified
STD232,Lokesh Murugan,28-04-2009,2026606726,3 - GHSS - Salem North,4-A,9942466545,Loke@2009,Pending
STD233,Chitra Mani,14-07-2008,2026635670,1 - GHSS - Madurai East,8-A,9830837444,Chit@2008,Verified
STD234,Ravi Rajan,1/9/2011,2026502892,1 - GHSS - Madurai East,11-A,9872182312,Ravi@2011,Verified
STD235,Kaviya Kumar,5/11/2019,2026751250,1 - GHSS - Madurai East,8-B,9986290539,Kavi@2019,Verified
